How long does it take to simulate the disease? Dependent on our the number of people in our network.
Population,Running time [seconds]
100,0.387529095
300,0.349745953
500,0.528155895
700,0.752999519
1000,0.959323235
2000,2
3000,3
4000,3
5000,4
7500,6
10000,9
15000,13
30000,25
50000,42
75000,71
100000,87
150000,127
